#F1	F2	d
MZ22506124	MZ22502935	0.0767
MZ22520218	MZ22501769	0.9633
MZ22530060	MZ22519951	0.5249
MZ22530469	MZ22514802	0.5021
MZ22518275	MZ22521994	0.3911
MZ22529889	MZ22503048	0.2641
MZ22517038	MZ22509079	0.2985
MZ22521610	MZ22508066	0.8917
MZ22526808	MZ22526813	0.8422
MZ22518275	MZ22524179	0.6500
MZ22500754	MZ22500106	0.0720
MZ22528012	MZ22510440	0.3091
MZ22526117	MZ22519193	0.1022
MZ22517798	MZ22522989	0.3140
MZ22508040	MZ22507529	0.7132
MZ22528119	MZ22500047	0.2727
MZ22527779	MZ22526291	0.3443
MZ22501194	MZ22503731	0.2650
MZ22522073	MZ22515097	0.3182
MZ22528769	MZ22508297	0.6329
MZ22514725	MZ22502949	0.5288
MZ22512069	MZ22507380	0.3349
MZ22513245	MZ22516531	0.7245
MZ22525742	MZ22519193	0.3661
MZ22523747	MZ22513314	0.2468
MZ22511815	MZ22511180	0.3346
MZ22524065	MZ22525160	1.0243
MZ22521951	MZ22520299	0.4401
MZ22527715	MZ22524202	0.1235
MZ22522919	MZ22506943	0.4814
MZ22521767	MZ22521498	0.5775
MZ22520278	MZ22523370	0.7771
MZ22509118	MZ22500963	0.0904
MZ22529135	MZ22515350	0.8747
MZ22531015	MZ22525780	1.0074
MZ22522486	MZ22516705	0.1871
MZ22524393	MZ22513599	0.7627
MZ22528797	MZ22519827	0.7450
MZ22503562	MZ22507874	0.4517
MZ22506809	MZ22509191	0.7094
MZ22530125	MZ22523278	0.9606
MZ22528765	MZ22520257	1.0123
MZ22528909	MZ22516877	1.0098
MZ22506348	MZ22507135	0.9150
MZ22506632	MZ22502318	0.1545
MZ22528532	MZ22523837	0.9442
MZ22510658	MZ22509401	0.5509
MZ22518612	MZ22503849	0.1072
MZ22518279	MZ22511606	1.0377
MZ22528265	MZ22502275	0.7589
MZ22524171	MZ22510682	0.1434
MZ22527640	MZ22529356	0.7978
MZ22514760	MZ22501513	0.7263
MZ22516579	MZ22502270	0.4848
MZ22529989	MZ22503050	0.3472
MZ22521467	MZ22519064	0.1859
MZ22527321	MZ22522860	0.2638
MZ22519775	MZ22511178	0.3757
MZ22528781	MZ22509478	0.0674
MZ22519385	MZ22504464	0.1200
MZ22524020	MZ22523609	0.1442
MZ22521669	MZ22505673	0.4326
MZ22520595	MZ22523991	0.9497
MZ22525354	MZ22508041	0.6474
MZ22527725	MZ22522978	0.4429
MZ22530288	MZ22519290	0.4584
MZ22525925	MZ22511340	0.5461
MZ22522414	MZ22518875	0.5493
MZ22529138	MZ22502699	0.8561
MZ22527704	MZ22502998	0.1007
MZ22514161	MZ22503853	0.7050
MZ22527664	MZ22512860	0.4885
MZ22530042	MZ22501013	0.1164
MZ22512966	MZ22501838	0.0912
MZ22530420	MZ22503993	0.3048
MZ22526249	MZ22525005	0.1121
MZ22518910	MZ22504647	0.4960
MZ22525305	MZ22508859	0.2933
MZ22504100	MZ22502156	0.1597
MZ22524893	MZ22510345	0.0769
MZ22523671	MZ22503282	0.6067
MZ22520501	MZ22522584	0.1307
MZ22521705	MZ22509094	0.3308
MZ22514299	MZ22501221	0.2517
MZ22522613	MZ22505188	0.7304
MZ22528660	MZ22504058	0.8130
MZ22526454	MZ22508977	0.8701
MZ22520010	MZ22509303	0.5338
MZ22521851	MZ22515109	0.2611
MZ22525199	MZ22512829	0.6737
MZ22524689	MZ22502172	0.0689
MZ22520574	MZ22503163	0.5937
MZ22512780	MZ22505767	0.4653
MZ22517198	MZ22514856	0.0992
MZ22526856	MZ22517383	0.2996
MZ22523401	MZ22500944	0.0889
MZ22519929	MZ22506260	0.2424
MZ22527022	MZ22521486	0.3834
MZ22525920	MZ22502101	0.1637
MZ22522057	MZ22508519	0.2191
MZ22530739	MZ22505511	0.3116
MZ22504168	MZ22500357	0.9106
MZ22513114	MZ22502684	0.5039
MZ22527392	MZ22517392	0.3189
MZ22524096	MZ22504778	0.0984
MZ22516317	MZ22513127	0.0924
MZ22515824	MZ22515839	0.2149
MZ22520443	MZ22515823	0.2473
MZ22527618	MZ22510293	0.0714
MZ22526090	MZ22504144	0.1418
MZ22518444	MZ22510443	0.4134
