F1 	 F2 	 num_edges_between 	 s1 	 s2 	 s12 	 s 	 d 
MZ22527955	MZ22502417	0	0.637575	0.976782	0.800257	0.936875	-0.136619	
MZ22527961	MZ22525525	0	0.107368	0.800000	0.596474	0.718514	-0.122039	
MZ22506124	MZ22502935	2	-0.077963	0.658373	0.618806	0.542109	0.076697	
MZ22529550	MZ22500923	0	0.132869	-0.320375	-0.379403	-0.291133	-0.088269	
MZ22528378	MZ22500047	34	-0.113230	0.011255	-0.014193	-0.001849	-0.012344	
MZ22520218	MZ22501769	45	-0.025833	0.049232	1.000000	0.036721	0.963279	
MZ22529090	MZ22510443	0	0.000000	0.592566	0.494435	0.522852	-0.028418	
MZ22530036	MZ22503567	0	0.000000	1.000000	0.882353	0.882353	0.000000	
MZ22530060	MZ22519951	29	0.135346	0.085862	0.616240	0.091360	0.524880	
MZ22530469	MZ22514802	13	-0.500000	0.568998	0.937500	0.435373	0.502127	
MZ22528973	MZ22523515	0	0.000000	0.866667	0.764706	0.764706	-0.000000	
MZ22528743	MZ22509609	0	1.000000	0.973748	0.973554	0.976665	-0.003111	
MZ22523465	MZ22521375	0	0.000000	0.939481	0.751035	0.763328	-0.012293	
MZ22518275	MZ22521994	40	0.182012	0.063264	0.480736	0.089652	0.391084	
MZ22503562	MZ22502439	44	-0.126194	0.082937	0.090679	0.049916	0.040762	
MZ22529889	MZ22503048	6	0.860393	0.617537	0.904762	0.640666	0.264096	
MZ22517038	MZ22509079	15	0.317636	0.694442	0.930158	0.631641	0.298517	
MZ22523409	MZ22502636	1	-0.500000	-0.077600	-0.074543	-0.114330	0.039788	
MZ22521610	MZ22508066	41	0.185783	-0.041804	0.885830	-0.005869	0.891700	
MZ22528924	MZ22500579	0	0.000000	0.120987	0.019723	0.108252	-0.088529	
MZ22526808	MZ22526813	27	0.376604	0.110907	1.000000	0.157795	0.842205	
MZ22518275	MZ22524179	52	0.182012	0.215234	0.857420	0.207417	0.650003	
MZ22500754	MZ22500106	48	0.057893	0.020922	0.102157	0.030165	0.071993	
MZ22525200	MZ22515996	0	0.174105	0.875000	0.558673	0.734821	-0.176148	
MZ22528012	MZ22510440	28	0.098254	-0.108728	0.226219	-0.082855	0.309074	
MZ22526117	MZ22519193	13	-0.198798	0.020272	0.081347	-0.020804	0.102150	
MZ22518487	MZ22509506	30	0.462806	-0.178887	-0.007983	-0.058570	0.050586	
MZ22517798	MZ22522989	52	0.145891	0.206283	0.506113	0.192073	0.314040	
MZ22527985	MZ22504918	28	0.074567	0.086849	0.094440	0.085314	0.009126	
MZ22528586	MZ22506269	0	1.000000	0.642857	0.687500	0.687500	0.000000	
MZ22508040	MZ22507529	30	-0.339057	0.345305	0.944444	0.231245	0.713200	
MZ22528119	MZ22500047	34	0.039781	0.011255	0.286976	0.014258	0.272718	
MZ22526867	MZ22500187	0	-0.250000	-0.290564	-0.310606	-0.283189	-0.027417	
MZ22515259	MZ22523467	0	-0.362948	0.911947	0.571863	0.686966	-0.115103	
MZ22527779	MZ22526291	9	0.554426	0.606106	0.937500	0.593186	0.344314	
MZ22530626	MZ22512571	0	0.000000	0.961750	0.850355	0.854889	-0.004534	
MZ22528749	MZ22521853	0	0.794342	1.000000	0.891291	0.975805	-0.084514	
