F1 	 F2 	 num_edges_between 	 s1 	 s2 	 s12 	 s 	 d 
MZ22506550	MZ22504509	0	0.944444	1.000000	0.972222	0.972222	0.000000	
MZ22522546	MZ22515575	8	0.661468	0.941946	1.000000	0.863412	0.136588	
MZ22526666	MZ22515575	0	0.972765	0.941946	0.911725	0.953636	-0.041911	
MZ22526666	MZ22504062	10	0.972765	0.973503	1.000000	0.973202	0.026798	
MZ22524119	MZ22508615	12	0.959366	0.972910	1.000000	0.966536	0.033464	
MZ22526550	MZ22502662	10	0.977005	0.984726	1.000000	0.982072	0.017928	
MZ22526550	MZ22515669	0	0.977005	0.977700	0.952761	0.977427	-0.024666	
MZ22501244	MZ22504999	0	1.000000	1.000000	1.000000	1.000000	0.000000	
MZ22517273	MZ22514967	0	0.875000	1.000000	0.941176	0.941176	0.000000	
MZ22512131	MZ22512122	0	0.975916	1.000000	0.975207	0.987958	-0.012751	
MZ22512122	MZ22523765	0	1.000000	0.944444	0.972222	0.972222	0.000000	
MZ22523765	MZ22507244	0	0.944444	1.000000	0.972222	0.972222	0.000000	
MZ22522246	MZ22501809	0	0.962337	0.321642	0.296019	0.604302	-0.308282	
MZ22522246	MZ22500956	20	0.962337	0.723605	0.750409	0.835511	-0.085102	
MZ22510049	MZ22507121	0	1.000000	1.000000	1.000000	1.000000	0.000000	
MZ22508208	MZ22505359	0	0.937500	1.000000	0.969697	0.969697	0.000000	
MZ22526876	MZ22524658	0	0.909091	1.000000	0.964286	0.964286	-0.000000	
MZ22524905	MZ22519310	37	0.846190	0.814373	1.000000	0.826873	0.173127	
MZ22517812	MZ22519310	0	0.933333	0.814373	0.816038	0.870135	-0.054097	
MZ22524828	MZ22520454	29	0.927314	-0.002116	0.244069	0.433554	-0.189485	
MZ22520454	MZ22500487	0	-0.002116	0.950000	0.264088	0.512541	-0.248453	
MZ22500487	MZ22510748	0	0.950000	0.329316	0.406818	0.655992	-0.249174	
