F1 	 F2 	 num_edges_between 	 s1 	 s2 	 s12 	 s 	 d 
MZ22526390	MZ22502110	1	0.831634	0.925137	0.758227	0.898956	-0.140729	
MZ22502668	MZ22506296	1	0.942006	0.886688	0.825304	0.914347	-0.089043	
MZ22501280	MZ22515311	1	0.952944	-0.059074	0.713901	0.776941	-0.063040	
MZ22514321	MZ22514747	1	0.908842	0.942816	0.847235	0.929226	-0.081991	
MZ22514244	MZ22508715	1	0.809595	0.939502	0.780054	0.872793	-0.092739	
MZ22507553	MZ22502085	1	0.891556	0.933146	0.820053	0.912945	-0.092892	
MZ22501969	MZ22518379	1	0.919717	0.778265	0.759208	0.848991	-0.089783	
MZ22517246	MZ22500348	1	0.364958	0.947182	0.542501	0.688416	-0.145915	
MZ22510113	MZ22520322	1	0.633934	0.906971	0.652830	0.766763	-0.113933	
MZ22519660	MZ22529169	1	0.796767	0.741779	0.670899	0.791268	-0.120369	
MZ22514521	MZ22509706	1	0.392141	0.946127	0.523033	0.639977	-0.116944	
MZ22504622	MZ22522811	1	0.910670	0.713015	0.695676	0.809019	-0.113343	
MZ22508123	MZ22514470	1	0.951528	0.777079	0.777047	0.864304	-0.087256	
MZ22508746	MZ22513177	1	0.950044	0.389161	0.484008	0.645565	-0.161557	
MZ22510569	MZ22526846	1	0.911193	0.703852	0.786383	0.844844	-0.058461	
MZ22519636	MZ22525040	1	0.894775	-0.579680	0.457305	0.497806	-0.040501	
MZ22502620	MZ22519157	1	0.916452	0.522389	0.571180	0.719421	-0.148240	
MZ22505369	MZ22523330	1	0.738694	0.832039	0.635494	0.786628	-0.151134	
MZ22513665	MZ22502470	1	0.962669	0.909177	0.868979	0.933754	-0.064775	
MZ22511043	MZ22505897	1	0.675193	0.589439	0.402869	0.637360	-0.234491	
MZ22526238	MZ22501698	1	0.841343	0.949490	0.792667	0.912314	-0.119647	
MZ22502126	MZ22521059	1	0.948661	0.868348	0.837100	0.907357	-0.070257	
MZ22530738	MZ22502480	1	0.944737	0.913298	0.847680	0.916607	-0.068927	
MZ22506506	MZ22520329	1	0.551868	0.570997	0.349808	0.560795	-0.210987	
MZ22501772	MZ22520344	1	0.930027	0.901742	0.831168	0.916768	-0.085600	
MZ22517411	MZ22512073	1	0.156092	0.544327	0.209357	0.386157	-0.176800	
MZ22512814	MZ22512831	1	0.934493	0.903004	0.834726	0.918299	-0.083573	
MZ22519013	MZ22512051	1	0.774781	0.799512	0.719938	0.788913	-0.068975	
MZ22500166	MZ22503836	1	0.924370	0.837599	0.783928	0.883268	-0.099340	
MZ22516950	MZ22506483	1	0.919654	0.354599	0.470854	0.653746	-0.182892	
MZ22507252	MZ22501339	1	0.950740	0.811222	0.774714	0.880981	-0.106267	
MZ22516007	MZ22509977	1	0.930444	0.800708	0.739177	0.861522	-0.122344	
MZ22517834	MZ22505367	1	0.961122	0.934243	0.891784	0.943843	-0.052059	
MZ22508571	MZ22528786	1	0.443538	0.901314	0.417338	0.513965	-0.096627	
